미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
movie,더 킹,보수동 책방 골목,playground,영화 초반 조인성이 뛰어다니는 시장 골목,부산광역시 중구 대청로 67-1,35.10332,129.026803,부산
movie,더 킹,울프강 스테이크 하우스,restaurant,정우성과 조인성이 스테이크를 먹은 곳,서울특별시 강남구 선릉로152길 21,37.5244835,127.041441,서울
movie,더 킹,이화여자대학교,playground,조인성이 더킹에서 다짐을 하며 걸은 곳,서울특별시 서대문구 이화여대길 52,37.561149,126.946433,서울
movie,덕혜옹주,남양주 종합촬영소,playground,덕혜옹주에서 덕수궁 석조전을 촬영한 세트장,경기도 남양주시 조안면 북한강로855번길 138,37.60466,127.320173,경기
movie,덕혜옹주,합천 영상 테마파크,playground,덕혜옹주에서 일본 거리를 촬영한 세트장,경상남도 합천군 용주면 합천호수로 757,35.5489346,128.072475,경상
movie,덕혜옹주,덕수궁,playground,덕혜옹주에서 노년의 손예진이 돌아온 궁,서울특별시 중구 세종대로 99,37.565924,126.97501,서울
movie,덕혜옹주,우전해수욕장,playground,덕혜옹주에서 손예진이 잡히는 해변,전라남도 신안군 증도면 우전리,34.964422,126.133908,전라
movie,덕혜옹주,청주성서신학원,playground,덕혜옹주에서 독립운동가들의 비밀 거처,충청북도 청주시 상당구 탑동로24번길 9,36.628485,127.497831,충청
movie,럭키,남양주 종합촬영소,playground,영화에서 민속마을 세트장으로 나왔던 곳,경기도 남양주시 조안면 북한강로855번길 138,37.60466,127.320173,경기
movie,럭키,원미공원,playground,영화 럭키에서 이준이 등장한 곳,경기도 부천시 소사로 456,37.498062,126.797802,경기
movie,럭키,원미상가아파트,playground,극 중 이준의 집으로 나오는 곳,경기도 부천시 조마루로398번길 56,37.495279,126.787147,경기
movie,럭키,두물머리,playground,영화 럭키의 배경으로 나온 자연 관광지,경기도 양평군 양서면 두물머리길,37.532916,127.315783,경기
movie,럭키,전곡항,playground,영화의 마지막 장면에서 유해진이 등장한 곳,경기도 화성시 서신면 전곡리,37.185027,126.650847,경기
movie,럭키,송림원,restaurant,영화에서 골목길에 등장하는 중국집,서울특별시 성북구 동소문로 25-2,37.5898797,127.0087929,서울
movie,럭키,안즈나선아당신생각,restaurant,영화 럭키에서 유해진이 김밥을 썬 곳,서울특별시 성북구 동소문로 25-3,37.58983,127.008618,서울
movie,럭키,용마랜드,playground,영화에서 유해진이 조윤희에게 고백하는 곳,서울특별시 중랑구 망우로70길 118 ,37.594468,127.105556,서울
movie,럭키,인천아트플랫폼,playground,영화에서 이준과 임지연이 만난 곳,인천광역시 중구 제물량로218번길 3,37.472906,126.62001,인천
movie,리얼,뮤지엄 산,playground,리얼에서 김수현의 호화주택으로 나오는 곳,강원도 원주시 지정면 오크밸리2길 260,37.418903,127.82302,강원
movie,리얼,용운국제수영장,playground,리얼에서 수영 장면을 촬영한 수영장,대전광역시 동구 동부로 138 용운국제수영장,36.3246986,127.4639625,대전
movie,리얼,부산 차이나타운,playground,리얼에서 성동일의 주 활동무대로 나오는 곳,부산광역시 동구 중앙대로179번길 1,35.113839,129.037845,부산
movie,리얼,노티스,cafe,리얼에서 소방대원 장면을 찍은 카페,부산광역시 중구 대교로 135 노티스,35.1022105,129.0352158,부산
movie,리얼,코모도호텔 부산,playground,리얼의 주요 배경으로 나온 부산 호텔,부산광역시 중구 중구로 151,35.109159,129.035447,부산
movie,리얼,헤아 한남본점,playground,리얼에서 김수현의 타투장면을 촬영한 바버샵,서울특별시 용산구 한남대로20길 57,37.5350261,127.0079089,서울
movie,리얼,쉐라톤 그랜드 인천 호텔 비플렛,restaurant,리얼에서 나온 송도의 호텔 바,인천광역시 연수구 컨벤시아대로 153,37.390135,126.645467,인천
movie,리틀포레스트,한밤마을,playground,리틀 포레스트 가을 장면에 등장하는 돌담길,경상북도 군위군 부계면 한티로 2137-3,36.059254,128.65493,경상
movie,리틀포레스트,역전상회,store,리틀 포레스트 예고편에도 등장하는 역전상회,경상북도 군위군 산성면 산성가음로 714,36.126985,128.695893,경상
movie,리틀포레스트,일연공원,playground,리틀 포레스트에 나온 조용한 소풍장소,경상북도 군위군 삼국유사면 화북3길 3-24,36.1184468,128.788321,경상
movie,리틀포레스트,영화[리틀포레스트]촬영지,playground,영화 리틀 포레스트에 나오는 혜원의 집 촬영지,경상북도 군위군 우보면 미성5길 58-1,36.179749,128.664579,경상
movie,리틀포레스트,미성리 마을 보호수 나무,playground,영화 리틀 포레스트 들판에 있는 보호수 나무,경상북도 군위군 우보면 미성리 580-2,36.176256,128.66904,경상
