LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,위도,경도
포레스트 리솜,충북,충북 제천시 백운면 금봉로 365,100개 이하,성급없음,휴양콘도미니엄업,517248,431940,695230,9,37.1577055926962,128.046378748942
하이원 팰리스호텔,강원,강원 정선군 고한읍 고한7길 399,200개 이하,4성,관광호텔업,158200,81284,278160,8,37.1742297977261,128.842570754473
한화리조트 거제 벨버디어,경남,경남 거제시 장목면 거제북로 2501-40,200개 이상,성급없음,휴양콘도미니엄업,422281,242233,728000,9,35.0076399527724,128.712622332213
한화리조트 경주,경북,경북 경주시 보문로 182-27,200개 이상,성급없음,휴양콘도미니엄업,307847,97000,785543,9,35.8596894215799,129.270240467171
한화리조트 대천 파로스,충남,충남 보령시 해수욕장3길 11-10,200개 이상,성급없음,휴양콘도미니엄업,252681,116520,584000,9,36.3055158131142,126.519820705596
한화리조트 백암온천,경북,경북 울진군 온정면 온천로 129-13,200개 이상,성급없음,휴양콘도미니엄업,152140,83000,264000,9,36.7230193979405,129.338219474202
한화리조트 산정호수,경기,경기도 포천시 영북면 산정호수로 402,200개 이상,성급없음,휴양콘도미니엄업,242646,122000,385000,9,38.0653852333909,127.314556995093
한화리조트 설악 쏘라노,강원,강원도 속초시 미시령로2983번길 111,200개 이상,성급없음,휴양콘도미니엄업,210167,112000,509000,10,38.2101595305386,128.527388761735
한화리조트 용인,경기,경기도 용인시 처인구 남사읍 봉무로153번길 79,200개 이상,성급없음,휴양콘도미니엄업,180826,112000,284000,9,37.1336283949433,127.14698226012
한화리조트 제주,제주,제주특별자치도 제주시 명림로 575-107,200개 이상,성급없음,휴양콘도미니엄업,246425,119000,488000,9,33.4490025432113,126.637358132958
한화리조트 평창,강원,강원도 평창군 봉평면 태기로 228-33,200개 이상,성급없음,휴양콘도미니엄업,319140,107000,570000,9,37.5787455893096,128.332110092147
한화리조트 해운대,부산,부산광역시 해운대구 마린시티3로 52,200개 이상,성급없음,휴양콘도미니엄업,320737,139937,602000,9,35.1544470889259,129.145059295243
해비치 호텔 & 리조트,제주,제주 서귀포시 표선면 민속해안로 537,200개 이상,성급없음,휴양콘도미니엄업,477268,275896,653400,9,33.3225989591113,126.843977586306
해운대 씨클라우드 호텔 앤 레지던스,부산,부산 해운대구 해운대해변로 287,200개 이하,성급없음,숙박업(생활),268595,60578,970000,9,35.1604439324117,129.162247021768
현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,38.1993914428936,128.546386325727
호텔 농심,부산,부산 동래구 금강공원로20번길 23,200개 이상,5성,관광호텔업,195427,52941,423500,9,35.220244909938,129.082258806694
호텔 더본 제주,제주,제주특별자치도 서귀포시 색달로 18,200개 이하,성급없음,관광호텔업,298083,141177,342770,9,33.2595323789253,126.406497805552
호텔 미란다,경기,경기 이천시 중리천로115번길 45,200개 이하,성급없음,관광호텔,98563,48399,251445,9,37.2760737594057,127.451091426526
호텔인터불고 대구,대구,대구 수성구 팔현길 212,200개 이상,5성,관광호텔업,170131,129724,225000,9,35.8743956534157,128.659657115395
호텔현대 바이 라한 목포,전남,전남 영암군 삼호읍 대불로 91,200개 이상,4성,관광호텔업,208659,99000,604056,9,34.7334749842651,126.38732068369
휘닉스 섭지코지,제주,제주특별자치도 서귀포시 성산읍 섭지코지로 107,200개 이상,성급없음,숙박업(생활),451920,181751,990909,9,33.4260423785235,126.926442688389
휘닉스평창 호텔,강원,강원 평창군 봉평면 태기로 174,200개 이하,4성,관광호텔업,338300,72000,790000,10,37.5825421416807,128.326740667555
힐튼 호텔 경주,경북,경북 경주시 보문로 484-7,200개 이상,5성,관광호텔업,458950,160000,825220,8,35.8399132683983,129.285947654449
힐튼 호텔 부산,부산,부산 기장군 기장읍 기장해안로 268-32,200개 이상,성급없음,관광호텔,587997,83864,990000,8,35.1981238814521,129.228484404695
