,식당이름,카테고리,별점,리뷰 수,웹사이트,주소,지역명,위도,경도
4017,화풍난양,restaurant,4.5,115,https://place.map.kakao.com/806387870,울산 남구 정동로80번길 25 1층(지번) 삼산동 211-13,울산,35.5411204743324,129.347145232051
4018,부산댁 울산달동점,restaurant,4.7,212,https://place.map.kakao.com/285570988,울산 남구 달삼로 55 1층(지번) 달동 1261-6,울산,35.5364534751845,129.335203192161
4019,삼산돈,restaurant,5.0,45,https://place.map.kakao.com/1431002061,울산 남구 달삼로 41 1층(지번) 달동 1262-5,울산,35.5361794721439,129.333574315933
4020,청학동칼국수&샤브,restaurant,4.4,38,https://place.map.kakao.com/9510348,울산 울주군 범서읍 점촌1길 18-2 1층(지번) 범서읍 구영리 724-6,울산,35.5758317648815,129.239366540737
4021,무주골,restaurant,3.7,17,https://place.map.kakao.com/1111359074,울산 중구 종가6길 32 KL빌딩 6층 601호(지번) 우정동 500-12,울산,35.5629783154024,129.310712395882
4022,스매쉬커피,cafe,4.5,6,https://place.map.kakao.com/767930068,울산 중구 내황2길 26 1층(지번) 반구동 776-7,울산,35.5531957611695,129.342978761607
4023,앞동산가든,restaurant,3.8,26,https://place.map.kakao.com/11109236,울산 울주군 두동면 두동로 1647(지번) 두동면 봉계리 1157,울산,35.6977539848552,129.205432847879
4024,하몬,cafe,4.6,161,https://place.map.kakao.com/1526937156,울산 동구 등대로 53(지번) 일산동 978-9,울산,35.4901988354,129.431689841265
4025,만상식당,restaurant,3.7,220,https://place.map.kakao.com/13082585,울산 남구 봉월로14번길 51 1층(지번) 신정동 652-17,울산,35.53533035059,129.312434454532
4026,놋담,restaurant,3.5,42,https://place.map.kakao.com/2136181348,울산 울주군 서생면 나사해안길 51 1-2층(지번) 서생면 나사리 306-15,울산,35.3570705912334,129.339486423018
4027,산주막 삼산점,restaurant,4.6,82,https://place.map.kakao.com/712292213,울산 남구 남중로80번길 26 1층(지번) 삼산동 215-1,울산,35.5413065960681,129.35078110499
4028,오손도손양곱창,restaurant,5.0,23,https://place.map.kakao.com/1931907999,울산 남구 수암로 93(지번) 신정동 1836-10,울산,35.5295484333192,129.318034638648
4029,여수항돌게쟁이꼬막,restaurant,4.6,111,https://place.map.kakao.com/1149192433,울산 중구 성안로 204 1층(지번) 성안동 401-1,울산,35.5779683106662,129.318555702813
4030,산동만두,restaurant,4.2,69,https://place.map.kakao.com/23641367,울산 남구 신정로40번길 8-1 1층(지번) 달동 122-4,울산,35.5357024350235,129.322929796536
4031,아웃닭치킨하우스 울산대점,restaurant,3.6,17,https://place.map.kakao.com/18065191,울산 남구 대학로108번길 3 1층(지번) 무거동 617-8,울산,35.5443652645763,129.260872102206
4032,왕콩수제두부전문점,restaurant,3.9,23,https://place.map.kakao.com/24127171,울산 중구 성안로 145(지번) 성안동 396-17,울산,35.5737563837892,129.315019152478
4033,울산3대밀면,restaurant,4.3,33,https://place.map.kakao.com/26502549,울산 남구 도산로107번길 9 1층(지번) 달동 1381-16,울산,35.5313074977909,129.327536138504
4034,태화강순두부,restaurant,3.7,464,https://place.map.kakao.com/2078710572,울산 중구 오산5길 21(지번) 태화동 741-12,울산,35.5517122113327,129.28755226771
4035,생식본능,restaurant,4.2,197,https://place.map.kakao.com/595402281,울산 중구 유곡로 62 1층(지번) 유곡동 125-17,울산,35.5572863119083,129.303162697389
4036,등대식당,restaurant,4.5,73,https://place.map.kakao.com/1067257719,울산 동구 등대로 31(지번) 일산동 972-10,울산,35.4913582376445,129.429734839536
4037,등대갈비 본점,restaurant,3.9,187,https://place.map.kakao.com/541723481,울산 동구 등대2길 18 1층(지번) 방어동 61-12,울산,35.490842994747,129.428492544836
4038,인얼스커피 울산동구점,cafe,3.5,227,https://place.map.kakao.com/698230891,울산 동구 해수욕장7길 5(지번) 일산동 976-4,울산,35.4918087261844,129.431993867956
4039,명장스시,restaurant,4.4,179,https://place.map.kakao.com/1086317267,울산 중구 학성로 85-1(지번) 성남동 45-6,울산,35.5552314261607,129.320532784126
4040,삼산밀면칼국수전문점 무거동본점,restaurant,4.0,168,https://place.map.kakao.com/7921982,울산 남구 옥현로58번길 10 1층(지번) 무거동 486-14,울산,35.5409306026915,129.262271803743
