,식당이름,카테고리,별점,리뷰 수,웹사이트,주소,지역명,위도,경도
0,덕수식당,restaurant,4.7,670,https://place.map.kakao.com/8891473,충남 태안군 태안읍 중앙로 133-8 1층(지번) 태안읍 동문리 339-15,충청,36.7517624319305,126.303150353864
1,한일식당,restaurant,3.6,347,https://place.map.kakao.com/9573537,충남 예산군 삽교읍 삽교역로 58(지번) 삽교읍 신가리 20-14,충청,36.6846272742569,126.7490913337
2,장춘닭개장,restaurant,4.2,187,https://place.map.kakao.com/11169052,충남 당진시 정안로 50 1층(지번) 원당동 381,충청,36.9065427068526,126.649845123804
3,엄가네본가시골집,restaurant,3.7,284,https://place.map.kakao.com/13311506,충남 천안시 서북구 봉정로 168-2(지번) 성정동 142-6,충청,36.816956898438,127.142705919327
4,에이스식당,restaurant,4.8,109,https://place.map.kakao.com/9250070,충남 당진시 면천면 면천서문1길 70(지번) 면천면 성상리 768-1,충청,36.8169804452289,126.666814344499
5,뚜쥬루 돌가마점,cafe,4.1,872,https://place.map.kakao.com/23578013,충남 천안시 동남구 풍세로 706(지번) 구룡동 564-27,충청,36.7730532058072,127.139546619755
6,뚜쥬루 성정점,cafe,4.1,43,https://place.map.kakao.com/21351241,충남 천안시 서북구 백석로 270(지번) 성정동 695-1,충청,36.8183741444005,127.139609350077
7,낭만고깃집형님 두정본점,restaurant,4.1,4,https://place.map.kakao.com/26092532,충남 천안시 서북구 노태산로 56 1층(지번) 두정동 596,충청,36.8296921130373,127.127619245082
8,천진중화요리,restaurant,3.8,34,https://place.map.kakao.com/8581907,충남 천안시 동남구 공고담길 43-5(지번) 신부동 386-125,충청,36.8166076742598,127.15683593987
9,혜주네맛집,restaurant,4.7,23,https://place.map.kakao.com/26813057,충남 당진시 신평면 맷돌포길 70(지번) 신평면 부수리 224-1,충청,36.9095382130795,126.814602374353
10,산애들애,restaurant,3.7,1164,https://place.map.kakao.com/21345355,충남 논산시 연산면 황룡재로 64-11 1층(지번) 연산면 연산리 54-9,충청,36.2067903143413,127.222092889167
11,반월소바,restaurant,4.3,794,https://place.map.kakao.com/21254192,충남 논산시 해월로 132 1층(지번) 반월동 176-5,충청,36.2029392180546,127.082485542036
12,한우가좋은날,restaurant,3.6,135,https://place.map.kakao.com/251870636,충남 아산시 음봉면 탕정면로 507 1층(지번) 음봉면 덕지리 170,충청,36.8287512387,127.091808957284
26,뚜쥬루 거북이점,cafe,3.7,264,https://place.map.kakao.com/27463396,충남 천안시 서북구 봉서산로 69-22(지번) 불당동 763,충청,36.8072042030145,127.114148765433
27,딴뚝통나무집식당,restaurant,3.8,3762,https://place.map.kakao.com/12344439,충남 태안군 안면읍 조운막터길 23-22 1층(지번) 안면읍 승언리 60-42,충청,36.5094323081386,126.350977984354
28,뜨끈이집해장국,restaurant,3.9,95,https://place.map.kakao.com/21275371,충남 예산군 덕산면 덕산온천로 331-6(지번) 덕산면 신평리 265-8,충청,36.6962430211551,126.662782860051
29,내당한우,restaurant,4.0,189,https://place.map.kakao.com/11891832,충남 홍성군 홍성읍 아문길52번길 6(지번) 홍성읍 오관리 393-2,충청,36.6003656619111,126.663752603598
30,블렌데렌,cafe,4.6,154,https://place.map.kakao.com/853217400,"충남 천안시 동남구 먹거리8길 5 1, 2층(지번) 신부동 452-10",충청,36.8170715430945,127.153538578564
31,마곡사서울식당,restaurant,3.9,200,https://place.map.kakao.com/635769168,충남 공주시 사곡면 마곡상가길 13-2(지번) 사곡면 운암리 729-10,충청,36.5561912474635,127.019687840676
32,카페피어라,cafe,3.8,1002,https://place.map.kakao.com/587310721,충남 당진시 합덕읍 합덕대덕로 502-24(지번) 합덕읍 석우리 48-35,충청,36.8061309776846,126.740328573905
33,목화반점,restaurant,3.7,964,https://place.map.kakao.com/7876599,충남 아산시 온주길26번길 7-3 1층(지번) 읍내동 151-3,충청,36.761452215322,127.019216260197
34,아우어베이커리 천안신불당점,cafe,4.1,213,https://place.map.kakao.com/332566550,충남 천안시 서북구 불당23로 73-27 1층 140~143호(지번) 불당동 1491,충청,36.8204151618986,127.109688700018
35,초원콩국수,restaurant,4.1,128,https://place.map.kakao.com/1024464268,충남 당진시 면천면 동문1길 14(지번) 면천면 성상리 1117,충청,36.8170777292329,126.668575203061
36,서들한우,restaurant,4.4,988,https://place.map.kakao.com/1807140510,충남 천안시 서북구 두정고5길 34 1층(지번) 두정동 1978,충청,36.8345922993402,127.133236987749
37,소플러스 천안점,restaurant,4.6,67,https://place.map.kakao.com/33294791,충남 천안시 서북구 음봉로 909-11 1동 1층(지번) 백석동 604-2,충청,36.8251015837995,127.106186792733
38,세종이도삼계탕 본점,restaurant,3.5,85,https://place.map.kakao.com/1937466785,충남 아산시 배방읍 배방로14번길 20-3 1층(지번) 배방읍 공수리 1508,충청,36.7757627929054,127.052182546532
39,신사우물갈비 불당본점,restaurant,4.5,1963,https://place.map.kakao.com/787754999,충남 천안시 서북구 불당25로 182 1층(지번) 불당동 1531,충청,36.8173065194698,127.108701907543
40,고마나루1999,restaurant,4.2,139,https://place.map.kakao.com/8684887,충남 공주시 백미고을길 5-8(지번) 금성동 183-4,충청,36.464910027798,127.122707825697
41,한우드소 염치점,restaurant,3.6,540,https://place.map.kakao.com/12695164,충남 아산시 염치읍 염치로 5 1층(지번) 염치읍 염성리 215-4,충청,36.8165445461159,126.972893154572
42,산장식당,restaurant,3.7,22,https://place.map.kakao.com/1118998821,충남 아산시 염치읍 현대로 434 지하 1층(지번) 염치읍 산양리 116,충청,36.8263011983558,126.927464651269
43,분반차 정다운아지트,restaurant,4.0,251,https://place.map.kakao.com/27420325,충남 공주시 반포면 정광터1길 70 1층(지번) 반포면 봉곡리 325-24,충청,36.4017624432551,127.236168830595
44,그니식당 평양냉면,restaurant,4.2,145,https://place.map.kakao.com/1928169619,충남 천안시 서북구 두정중7길 34 1층 101호(지번) 두정동 1517,충청,36.8338950379756,127.142020488535
45,죽순산장,restaurant,4.0,175,https://place.map.kakao.com/11155160,충남 아산시 음봉면 음봉면로 227(지번) 음봉면 원남리 262,충청,36.8634047518245,127.023965959105
46,장칼국수,restaurant,4.1,601,https://place.map.kakao.com/24269752,충남 천안시 동남구 천안천8길 49 1층(지번) 신부동 623,충청,36.8216822276254,127.156320062191
47,루치아의 뜰,cafe,4.4,198,https://place.map.kakao.com/21626744,충남 공주시 웅진로 145-8(지번) 중동 171-2,충청,36.4537901846156,127.123776711352
48,조리고 직산점,restaurant,4.2,97,https://place.map.kakao.com/1378832192,충남 천안시 서북구 성거읍 직산로 18-70 1층(지번) 성거읍 신월리 1,충청,36.879241895955,127.161297742316
49,길목식당,restaurant,4.4,17,https://place.map.kakao.com/15566568,충남 아산시 온천대로 1491-2 지하1층(지번) 온천동 91-8,충청,36.7816273802237,127.003660873817
50,원당풍천장어,restaurant,4.6,30,https://place.map.kakao.com/1927736058,충남 당진시 고실1길 41-10(지번) 수청동 438-1,충청,36.9035440124157,126.649862080673
51,공주집,restaurant,3.5,200,https://place.map.kakao.com/11032502,충남 천안시 서북구 성환읍 송덕2길 113 1층(지번) 성환읍 송덕리 54-3,충청,36.9236436469562,127.118846315406
52,라루체,cafe,4.7,353,https://place.map.kakao.com/1306216300,충남 공주시 반포면 계룡대로 1392(지번) 반포면 학봉리 260-1,충청,36.3597239483527,127.252640035609
53,백향,restaurant,4.3,198,https://place.map.kakao.com/27319942,충남 천안시 동남구 화령길 3-52 1층(지번) 유량동 393-23,충청,36.812374076019,127.173204081021
54,시골통닭,restaurant,3.9,401,https://place.map.kakao.com/21255026,충남 부여군 부여읍 중앙로5번길 14-9 1층(지번) 부여읍 구아리 173,충청,36.2820010671733,126.911616001502
55,조리고 천안점,restaurant,4.3,192,https://place.map.kakao.com/549841262,"충남 천안시 동남구 차돌고개7길 1 2, 3층(지번) 다가동 376-4",충청,36.80050675832453,127.13703936860963
56,구옹진냉면,restaurant,3.7,107,https://place.map.kakao.com/9670552,충남 서산시 번화2로 8-2 1층(지번) 읍내동 141-22,충청,36.7802780628294,126.449829070595
57,청당정원,restaurant,4.0,305,https://place.map.kakao.com/97977104,충남 천안시 동남구 청당2길 131 1층(지번) 청당동 143,충청,36.7805076632657,127.157260747206
58,꽃게와꽃게집 본점,restaurant,4.6,1451,https://place.map.kakao.com/27414603,충남 당진시 송악읍 신복운로 173-1 1층(지번) 송악읍 복운리 1642-9,충청,36.9411890163325,126.783561310987
59,인주 필드점,cafe,4.3,483,https://place.map.kakao.com/958410011,충남 아산시 배방읍 호서로 272(지번) 배방읍 회룡리 160-1,충청,36.7558329487323,127.076511482147
60,원산면옥,restaurant,4.1,891,https://place.map.kakao.com/176605451,충남 논산시 은진면 매죽헌로 99 1층(지번) 은진면 연서리 491,충청,36.1620561864043,127.105455755479
61,부자상황삼계탕,restaurant,4.5,8,https://place.map.kakao.com/26315881,충남 천안시 서북구 동서대로 17-40(지번) 백석동 107-1,충청,36.8274162939859,127.124024825145
62,하루,cafe,4.8,70,https://place.map.kakao.com/20796261,충남 아산시 용화로48번길 4-10 1층(지번) 온천동 3094,충청,36.7748056205034,127.009345888181
63,육품,restaurant,4.9,96,https://place.map.kakao.com/26775253,충남 아산시 음봉면 월암로 86(지번) 음봉면 월랑리 197-3,충청,36.8444428168835,127.078512946249
64,우렁이박사,restaurant,4.0,761,https://place.map.kakao.com/8031120,충남 당진시 신평면 샛터로 7-1 1층(지번) 신평면 도성리 499-11,충청,36.8799733547556,126.802764816924
65,삿뽀로 천안점,restaurant,3.8,48,https://place.map.kakao.com/12515606,충남 천안시 서북구 원두정1길 7 1-2층(지번) 두정동 807,충청,36.830968172677,127.133606340151
66,중식이맛있는집 메이탄 천안점,restaurant,3.6,157,https://place.map.kakao.com/24823059,충남 천안시 서북구 다가말3길 2 2층(지번) 쌍용동 542-5,충청,36.7973959229944,127.13105661857
67,스시린 두정점,restaurant,4.4,236,https://place.map.kakao.com/584489111,충남 천안시 서북구 원두정8길 6 1층(지번) 두정동 899,충청,36.8322990075927,127.133775906192
68,제이스맨션,cafe,4.0,181,https://place.map.kakao.com/595668871,충남 천안시 서북구 불당28길 24 1층(지번) 불당동 1604,충청,36.811432853292,127.101941131878
69,노을연탄구이 천안본점,restaurant,4.7,79,https://place.map.kakao.com/24217439,충남 천안시 서북구 미라9길 10 1층(지번) 쌍용동 1099,충청,36.8035358679346,127.129127372222
81,방가삼대 얼큰한뼈해장국 본점,restaurant,3.7,110,https://place.map.kakao.com/10057607,충남 아산시 탕정면 삼성로 520-9(지번) 탕정면 동산리 168,충청,36.8253958486675,127.091018307921
82,봉일식,restaurant,4.9,20,https://place.map.kakao.com/14978308,충남 보령시 옥마역길 81(지번) 명천동 14-16,충청,36.3332444762121,126.620308069765
83,그리고스페셜티,cafe,4.3,1008,https://place.map.kakao.com/1322536802,충남 천안시 동남구 유량로 104(지번) 유량동 360-15,충청,36.807127926227,127.17275432485
84,카페브리드,cafe,4.0,85,https://place.map.kakao.com/27315060,충남 아산시 신정로 486(지번) 기산동 16,충청,36.7634795274203,126.974014470479
85,산내들,restaurant,3.9,181,https://place.map.kakao.com/9811591,충남 천안시 서북구 서부1길 77 1층(지번) 성정동 618-3,충청,36.8253711340577,127.13785822924
86,맛찬들왕소금구이 천안두정점,restaurant,3.9,177,https://place.map.kakao.com/891137636,충남 천안시 서북구 원두정6길 6 1층(지번) 두정동 808,충청,36.8314272869988,127.133846579324
87,베이커리밤마을,cafe,3.6,1087,https://place.map.kakao.com/904041132,충남 공주시 백미고을길 5-9(지번) 금성동 184-4,충청,36.464753279293,127.123005687337
88,호수매운탕 어죽대부,restaurant,4.1,191,https://place.map.kakao.com/15283675,충남 천안시 서북구 성성2길 61 2층(지번) 성성동 90-5,충청,36.844850733045,127.130089262765
89,제주유기농쌈밥촌 유구점,restaurant,4.7,17,https://place.map.kakao.com/9403448,충남 공주시 유구읍 중앙2길 23 1층(지번) 유구읍 백교리 27-1,충청,36.5466984566235,126.951194405247
90,유장춘닭개장 백석점,restaurant,4.3,127,https://place.map.kakao.com/19857167,충남 천안시 서북구 백석3로 39 1층(지번) 백석동 270,충청,36.8221105596969,127.1152555391
91,신야춘추,restaurant,4.9,25,https://place.map.kakao.com/23407019,충남 공주시 반포면 하신소1길 62-9(지번) 반포면 하신리 274-2,충청,36.3825936280573,127.235930082508
92,꽁당보리밥 배방점,restaurant,4.4,596,https://place.map.kakao.com/21350389,충남 아산시 배방읍 갈매길 159-39 1동 2층(지번) 배방읍 북수리 278-31,충청,36.7672359372359,127.074290451734
93,청화집순대,restaurant,4.2,546,https://place.map.kakao.com/11233700,충남 천안시 동남구 병천면 충절로 1749 1층(지번) 병천면 병천리 167-6,충청,36.7623467490991,127.299220238358
94,알토,restaurant,3.9,164,https://place.map.kakao.com/27448647,충남 천안시 동남구 청수10길 4-120 1층(지번) 삼룡동 504,충청,36.7822524623858,127.164804449643
95,란베트남쌀국수,restaurant,4.8,269,https://place.map.kakao.com/704636337,충남 천안시 동남구 충절로 244 1층(지번) 구성동 480-9,충청,36.79713295644,127.159143514573
96,나문재카페,cafe,4.2,199,https://place.map.kakao.com/590725586,충남 태안군 안면읍 통샘길 87-340(지번) 안면읍 창기리 209-509,충청,36.5865947602383,126.374312101698
97,육하원칙 직산점,restaurant,3.5,55,https://place.map.kakao.com/1692577079,충남 천안시 서북구 직산읍 부송로 333 1층(지번) 직산읍 자은가리 29-6,충청,36.8789825824319,127.127371777545
98,징기스 천안두정점,restaurant,4.4,41,https://place.map.kakao.com/713940045,충남 천안시 서북구 원두정10길 10 1층(지번) 두정동 915,충청,36.8331898475053,127.135125800061
99,유장춘닭개장 서산점,restaurant,4.4,29,https://place.map.kakao.com/25677871,충남 서산시 무학로 1878 1층(지번) 예천동 739,충청,36.76856396648,126.43578270294
100,꽃게랑아구랑,restaurant,3.7,98,https://place.map.kakao.com/27345126,충남 예산군 덕산면 덕산온천로 321(지번) 덕산면 신평리 232-7,충청,36.6957436530031,126.662636102132
101,뚱보아저씨수제돈가스 아산점,restaurant,4.0,107,https://place.map.kakao.com/1034153520,충남 아산시 번영로234번길 30 하이빌 상가1층(지번) 모종동 585-1,충청,36.7814306997725,127.017483739228
102,팔팔닭떡볶이 천안불당점,restaurant,4.2,62,https://place.map.kakao.com/737487675,충남 천안시 서북구 불당30길 36 1층(지번) 불당동 1765,충청,36.810330226827,127.104156579858
103,큰댁한정식,restaurant,3.8,69,https://place.map.kakao.com/8099965,충남 천안시 서북구 성정중4길 30(지번) 성정동 1254,충청,36.8267433826205,127.136259023908
104,다원맛집,restaurant,4.3,56,https://place.map.kakao.com/1629306287,충남 태안군 남면 천수만로 134-4(지번) 남면 당암리 622-1,충청,36.6256050007371,126.325226394832
105,봄담아 당진점,restaurant,4.0,315,https://place.map.kakao.com/489951721,충남 당진시 대덕1로 125-132 1층(지번) 대덕동 1824,충청,36.8842501642182,126.645821842537
106,하오하오,restaurant,3.9,227,https://place.map.kakao.com/1089295621,충남 천안시 서북구 불당16길 29 삼성빌 1층(지번) 불당동 1367,충청,36.8010274030959,127.1078179901
107,돈백석,restaurant,4.0,106,https://place.map.kakao.com/25548444,충남 천안시 서북구 성정공원2길 14 1층 102호(지번) 성정동 1419,충청,36.8264628364437,127.14311241232
108,팔보돌솥,restaurant,4.6,93,https://place.map.kakao.com/14103981,충남 천안시 동남구 신부2길 8(지번) 신부동 475-1,충청,36.8168072995223,127.158985187876
109,쌍용동시골집,restaurant,3.8,114,https://place.map.kakao.com/418211593,충남 천안시 서북구 서부대로 319-2(지번) 쌍용동 191-21,충청,36.7955005406705,127.125183891963
110,153갈비마을,restaurant,4.1,163,https://place.map.kakao.com/9402048,충남 아산시 남산로 55 1층(지번) 온천동 200-34,충청,36.7803912853153,126.999580360075
111,추억의꽁당보리밥 아산점,restaurant,4.6,182,https://place.map.kakao.com/27573224,충남 아산시 온주길16번길 14 1층(지번) 읍내동 290-9,충청,36.7602244039768,127.017713104603
112,이내,cafe,4.6,313,https://place.map.kakao.com/677472489,충남 아산시 배방읍 배방로13번길 19-6 1층(지번) 배방읍 공수리 1611,충청,36.7766386388811,127.056603930422
113,천안밀면,restaurant,3.6,204,https://place.map.kakao.com/616170174,충남 천안시 서북구 월봉7길 50(지번) 쌍용동 1662,충청,36.7912734195569,127.116582147981
114,백화산가든한식뷔페 태안점,restaurant,3.7,39,https://place.map.kakao.com/13301627,충남 태안군 태안읍 중앙로 333 2층(지번) 태안읍 평천리 679-1,충청,36.7537714561641,126.321600104294
115,피양옥 신불당점,restaurant,3.9,57,https://place.map.kakao.com/1215258389,충남 천안시 서북구 불당25로 176(지번) 불당동 1534,충청,36.8162380448409,127.109126844444
116,청남가든,restaurant,4.8,208,https://place.map.kakao.com/9970939,충남 공주시 사곡면 운정길 78(지번) 사곡면 운암리 576-1,충청,36.5595619828893,127.015511307286
117,해미우시장,restaurant,4.5,218,https://place.map.kakao.com/25101596,충남 서산시 해미면 읍성마을3길 22 1층(지번) 해미면 읍내리 221-56,충청,36.710050414084,126.545151276907
118,술타령,restaurant,5.0,14,https://place.map.kakao.com/22651123,충남 천안시 서북구 두정로 227 1층(지번) 두정동 1505,충청,36.8337800708077,127.142310169641
119,피탕김탕 본점,restaurant,3.8,777,https://place.map.kakao.com/22366091,충남 공주시 한적2길 47-5 1층(지번) 금흥동 616-5,충청,36.478295883319,127.139602779329
120,오월의숲,cafe,4.3,58,https://place.map.kakao.com/2026740246,충남 천안시 서북구 세관길 78(지번) 성정동 361,충청,36.8231951303891,127.145207822583
121,지산흑돈,restaurant,4.8,14,https://place.map.kakao.com/26937423,충남 아산시 남부로 292(지번) 용화동 4-1,충청,36.7709426554125,127.012855131973
122,택이네조개전골 배방점,restaurant,3.8,83,https://place.map.kakao.com/1630034450,충남 아산시 배방읍 배방로13번길 28-10 1층(지번) 배방읍 공수리 1652,충청,36.7753271316624,127.056651245094
123,홍콩반점,restaurant,3.5,32,https://place.map.kakao.com/9634915,충남 아산시 온천대로 1507(지번) 온천동 86-25,충청,36.7812386682379,127.005279388264
124,카페벌곡,cafe,4.3,508,https://place.map.kakao.com/1497771906,충남 논산시 벌곡면 수락로 877 1층(지번) 벌곡면 사정리 462,충청,36.1953105759638,127.265117425999
136,천안옛날 호두과자 천안역점,cafe,3.6,238,https://place.map.kakao.com/8153178,충남 천안시 동남구 대흥로 237-1(지번) 대흥동 57-2,충청,36.8090904032463,127.147566825831
137,라프커피,cafe,4.3,2,https://place.map.kakao.com/776420183,"충남 아산시 신정로 536-1 1,2층(지번) 방축동 555-4",충청,36.7672517734515,126.977480964458
138,스시마츠,restaurant,3.5,129,https://place.map.kakao.com/320679178,"충남 홍성군 홍북읍 청사로174번길 25 성원타워 2층 201,202호(지번) 홍북읍 신경리 553",충청,36.6604327656871,126.680929119485
139,정가네포차,restaurant,3.7,93,https://place.map.kakao.com/15527020,충남 천안시 동남구 풍세로 769-21(지번) 용곡동 116-95,충청,36.7794721916083,127.138407901067
140,대구뭉티기,restaurant,4.6,125,https://place.map.kakao.com/1568725265,충남 천안시 서북구 성정공원6길 51 1층(지번) 성정동 1382,충청,36.8286406983911,127.143283263851
141,원풍식당,restaurant,4.0,134,https://place.map.kakao.com/8024947,충남 태안군 원북면 원이로 841-1 1층(지번) 원북면 반계리 202-12,충청,36.8241955348127,126.258064140731
142,산마루가든,restaurant,4.5,91,https://place.map.kakao.com/9112858,충남 예산군 대흥면 예당긍모로 406(지번) 대흥면 노동리 140-6,충청,36.6400141710089,126.813613119635
143,희미한 옛사랑의 그림자,restaurant,5.0,14,https://place.map.kakao.com/10047116,충남 천안시 서북구 원두정5길 12 1층(지번) 두정동 819-2,충청,36.8310738723126,127.135200882945
144,프리퍼팩토리,cafe,4.6,371,https://place.map.kakao.com/1201906051,충남 천안시 동남구 목천읍 종합휴양지로 77(지번) 목천읍 운전리 434,충청,36.7645000738942,127.229634037436
145,카페다솔,cafe,4.2,30,https://place.map.kakao.com/1835343214,충남 서산시 운산면 봉운로 951-125 서해안청소년수련원(지번) 운산면 원평리 394,충청,36.7644694139691,126.615031910358
146,봉명족발,restaurant,4.8,19,https://place.map.kakao.com/18812536,충남 천안시 서북구 성정로 53 녹산주상빌딩 1층 102호(지번) 성정동 725-11,충청,36.8140037812614,127.136016667619
147,엔학고레,cafe,3.6,389,https://place.map.kakao.com/763376396,충남 공주시 반포면 불장골길 113-12(지번) 반포면 송곡리 454-4,충청,36.3980646643567,127.265762703337
148,황토집사람들,restaurant,4.2,361,https://place.map.kakao.com/10958644,충남 금산군 진산면 태고사로 444 1층(지번) 진산면 두지리 296-16,충청,36.1603364795639,127.338263143305
149,시아반,restaurant,4.5,158,https://place.map.kakao.com/623082685,충남 천안시 서북구 불당30길 24 1층 102호(지번) 불당동 1788,충청,36.8097627665908,127.103469181605
150,송돈가 청당점,restaurant,4.6,41,https://place.map.kakao.com/583017347,충남 천안시 동남구 청수12로 12 1층(지번) 청당동 895,충청,36.7826089143021,127.160742569312
151,카페이숲,cafe,3.8,1140,https://place.map.kakao.com/1885767570,충남 천안시 서북구 성거읍 남창마을1길 32 1층(지번) 성거읍 송남리 133-1,충청,36.8621845707834,127.195422089559
152,숲속의문,cafe,5.0,91,https://place.map.kakao.com/432996016,충남 천안시 동남구 양지말2길 61 1-3층(지번) 유량동 82-8,충청,36.8122194794749,127.186067201729
153,옛날우렁이식당 당진3호점,restaurant,4.3,129,https://place.map.kakao.com/16857859,충남 당진시 무수동1길 25-13(지번) 읍내동 1106,충청,36.8893203782307,126.638409903221
154,의평식당,restaurant,3.8,5,https://place.map.kakao.com/10665844,충남 보령시 중앙시장1길 11(지번) 대천동 331-7,충청,36.3509844346829,126.59352578672
155,유얼스,cafe,4.6,117,https://place.map.kakao.com/1353969404,충남 천안시 서북구 불당31길 37(지번) 불당동 1654,충청,36.8102154509266,127.105355091455
156,냉면만허유,restaurant,4.0,7,https://place.map.kakao.com/11433016,충남 서산시 부석면 취평2길 15-10 1층(지번) 부석면 취평리 257-18,충청,36.7136753584369,126.391957330565
157,소담,restaurant,5.0,7,https://place.map.kakao.com/21254041,충남 홍성군 홍성읍 문화로85번길 46-2 1층(지번) 홍성읍 오관리 572-2,충청,36.5947185692659,126.659904274433
158,숯불닭갈비전문점굽다 천안두정점,restaurant,5.0,32,https://place.map.kakao.com/84735193,충남 천안시 서북구 두정로 229(지번) 두정동 1506-1,충청,36.833682550484,127.142628131723
159,스타벅스 계룡대로DT점,cafe,3.7,19,https://place.map.kakao.com/887980713,충남 계룡시 엄사면 번영로 6(지번) 엄사면 엄사리 284,충청,36.2884326447468,127.244331057907
160,이우철한방누룽지삼계탕 백석직영점,restaurant,3.5,114,https://place.map.kakao.com/1664977523,충남 천안시 서북구 한들2로 46-5 1층(지번) 백석동 100,충청,36.8271658877998,127.119705197268
161,만섬,restaurant,4.6,414,https://place.map.kakao.com/11405964,충남 홍성군 홍성읍 내포로251번길 26(지번) 홍성읍 옥암리 495-1,충청,36.5886345520844,126.642784910532
162,꼭이집 불당동점,restaurant,5.0,243,https://place.map.kakao.com/1292334334,충남 천안시 서북구 검은들3길 9 메트로프라자빌딩 107호 꼭이집불당동점(지번) 불당동 697,충청,36.8110445939171,127.110290360082
163,육화미 두정점,restaurant,4.7,925,https://place.map.kakao.com/919326753,충남 천안시 서북구 두정로 179 1층(지번) 두정동 965,충청,36.8339525630715,127.136999347638
164,한촌설렁탕 온양온천점,restaurant,4.4,11,https://place.map.kakao.com/498965222,충남 아산시 온천대로 1480 1층(지번) 온천동 212-18,충청,36.7815439734769,127.002168918913
165,황소숯불꼼장어구이,restaurant,5.0,30,https://place.map.kakao.com/27433348,충남 논산시 중앙로398번길 16 1층(지번) 취암동 1062-10,충청,36.2004451271192,127.090602789926
166,미식가,restaurant,4.4,176,https://place.map.kakao.com/63107069,충남 태안군 태안읍 정주내3길 16-5 1층(지번) 태안읍 동문리 897-8,충청,36.7461643552505,126.305017486458
167,백미한우정육식당,restaurant,3.7,2814,https://place.map.kakao.com/119438176,충남 천안시 서북구 성정두정로 14 스위스캐슬 101호(지번) 성정동 1453,충청,36.8268625322572,127.141334159134
168,골든로우프,cafe,4.4,62,https://place.map.kakao.com/679784735,충남 천안시 서북구 불당30길 42 1층(지번) 불당동 1762,충청,36.810725445747,127.104063090514
169,계룡산동학식당,restaurant,3.5,3,https://place.map.kakao.com/27576722,충남 공주시 반포면 천장이길 2(지번) 반포면 학봉리 794-8,충청,36.3580207417496,127.236836015417
170,만강,restaurant,4.1,36,https://place.map.kakao.com/1796322067,충남 천안시 동남구 청당2길 73 1층(지번) 청당동 283-29,충청,36.780919708165,127.151312435874
171,핑안,restaurant,4.6,102,https://place.map.kakao.com/69066788,충남 아산시 번영로 57(지번) 실옥동 17-176,충청,36.78690316142,126.997145624499
172,유진짬뽕앤돈까스,restaurant,4.4,119,https://place.map.kakao.com/27180551,충남 논산시 연무읍 안심로140번길 49 1층(지번) 연무읍 동산리 894-232,충청,36.1297636273329,127.102331969116
173,코끼리공장,cafe,4.0,252,https://place.map.kakao.com/18711649,충남 천안시 동남구 목천읍 동평1길 1-8 1층(지번) 목천읍 운전리 394-10,충청,36.7706221695021,127.231999777923
174,촌집,restaurant,4.0,2,https://place.map.kakao.com/9455728,충남 공주시 유구읍 시장길 41(지번) 유구읍 석남리 249-2,충청,36.5541501565444,126.951626451372
175,태능초가집갈비,restaurant,4.1,311,https://place.map.kakao.com/15176697,충남 논산시 중앙로398번길 7-7 1-2층(지번) 취암동 1050-2,충청,36.2004716527914,127.089242949034
176,태화식당,restaurant,3.9,154,https://place.map.kakao.com/9500122,충남 공주시 사곡면 마곡상가길 10(지번) 사곡면 운암리 728-5,충청,36.5564859034934,127.019808215694
177,더몰트하우스 천안점,restaurant,3.9,182,https://place.map.kakao.com/1265058243,충남 천안시 서북구 불당31길 22 1층(지번) 불당동 1683,충청,36.8093607565666,127.10564932533
178,파전칼국수,restaurant,4.0,152,https://place.map.kakao.com/21497522,충남 태안군 태안읍 시장1길 34 태안서부상가 9호(지번) 태안읍 남문리 170-16,충청,36.7534374660326,126.296180570093
179,청미래,restaurant,4.1,113,https://place.map.kakao.com/1260826952,충남 천안시 서북구 공단로 64 1층(지번) 성성동 210-2,충청,36.8442475343204,127.126328078767
180,소플러스 용곡점,restaurant,5.0,50,https://place.map.kakao.com/1724358682,충남 천안시 동남구 용곡2길 130 1-2층(지번) 용곡동 315-32,충청,36.7922006345525,127.143631605507
181,두부랑가마솥손두부 탕정점,restaurant,3.6,50,https://place.map.kakao.com/1286603584,충남 아산시 탕정면 탕정면로8번길 69 1층(지번) 탕정면 명암리 947-4,충청,36.796666827762,127.062515480971
182,영인산마루,restaurant,4.2,151,https://place.map.kakao.com/11504246,충남 아산시 영인면 아산온천로 16-8(지번) 영인면 아산리 102-2,충청,36.8525993818898,126.959282465217
183,여울목카페,cafe,4.1,27,https://place.map.kakao.com/2099076403,충남 금산군 제원면 낙안길 3(지번) 제원면 천내리 255-1,충청,36.115766051693,127.59104708365
184,마운틴피시텔 레스토랑,restaurant,4.9,88,https://place.map.kakao.com/13110298,충남 천안시 동남구 버들로 4(지번) 대흥동 95,충청,36.8090511757348,127.148459124974
185,미경,restaurant,4.4,38,https://place.map.kakao.com/8345155,충남 아산시 삼동로40번길 46 1층(지번) 모종동 570-2,충청,36.7826154311263,127.015953947572
186,원조명가,restaurant,4.0,51,https://place.map.kakao.com/25763069,충남 보령시 문화원길 42 1층(지번) 대천동 618-258,충청,36.3499578997128,126.598722941066
187,북촌35제빵소,cafe,3.8,243,https://place.map.kakao.com/169101450,충남 공주시 반포면 동학사1로 215(지번) 반포면 학봉리 697-7,충청,36.3598310896639,127.244059457043
